0.0005 0.0006
0.0005 0.0268
0.0024 0.0435
0.0098 0.0637
0.0180 0.0743
0.0324 0.0872
0.0477 0.0956
0.0626 0.1018
0.0774 0.1078
0.0932 0.1150
0.1062 0.1183
0.1220 0.1214
0.1369 0.1256
0.1517 0.1297
0.1666 0.1343
0.1815 0.1388
0.1963 0.1432
0.2076 0.1470
0.2193 0.1508
0.2342 0.1558
0.2490 0.1613
0.2639 0.1676
0.2788 0.1760
0.2932 0.1846
0.2960 0.1990
0.2873 0.2121
0.2758 0.2284
0.2678 0.2378
0.2632 0.2510
0.2701 0.2641
0.2794 0.2755
0.2896 0.2920
0.3033 0.3017
0.3193 0.3122
0.3342 0.3237
0.3493 0.3367
0.3565 0.3506
0.3577 0.3608
0.3598 0.3763
0.3592 0.3957
0.3469 0.4056
0.3391 0.4131
0.3220 0.4236
0.3118 0.4299
0.3024 0.4338
0.2882 0.4409
0.2734 0.4468
0.2585 0.4553
0.2436 0.4656
0.2287 0.4753
0.2266 0.4957
