 0.0019531  0.0000000
 0.0058594  0.0000000
 0.0097656  0.0000017
 0.0136719  0.0000074
 0.0175781  0.0000177
 0.0214844  0.0000396
 0.0253906  0.0000770
 0.0292969  0.0001284
 0.0332031  0.0001922
 0.0371094  0.0002780
 0.0410156  0.0003737
 0.0449219  0.0005062
 0.0488281  0.0006834
 0.0527344  0.0009879
 0.0566406  0.0014080
 0.0605469  0.0020160
 0.0644531  0.0027813
 0.0683594  0.0038133
 0.0722656  0.0052802
 0.0761719  0.0071849
 0.0800781  0.0096325
 0.0839844  0.0126721
 0.0878906  0.0165649
 0.0917969  0.0215371
 0.0957031  0.0275322
 0.0996094  0.0346258
 0.1035156  0.0429391
 0.1074219  0.0521825
 0.1113281  0.0625258
 0.1152344  0.0738968
 0.1191406  0.0860979
 0.1230469  0.0988257
 0.1269531  0.1120881
 0.1308594  0.1255820
 0.1347656  0.1393148
 0.1386719  0.1530246
 0.1425781  0.1665063
 0.1464844  0.1795585
 0.1503906  0.1920034
 0.1542969  0.2035857
 0.1582031  0.2140601
 0.1621094  0.2235345
 0.1660156  0.2319128
 0.1699219  0.2391557
 0.1738281  0.2453187
 0.1777344  0.2500085
 0.1816406  0.2535023
 0.1855469  0.2560220
 0.1894531  0.2574214
 0.1933594  0.2578629
 0.1972656  0.2571928
 0.2011719  0.2557020
 0.2050781  0.2536984
 0.2089844  0.2509165
 0.2128906  0.2477609
 0.2167969  0.2443983
 0.2207031  0.2407971
 0.2246094  0.2373178
 0.2285156  0.2345384
 0.2324219  0.2321290
 0.2363281  0.2305602
 0.2402344  0.2296139
 0.2441406  0.2294055
 0.2480469  0.2300075
 0.2519531  0.2313550
 0.2558594  0.2334797
 0.2597656  0.2361918
 0.2636719  0.2392406
 0.2675781  0.2427485
 0.2714844  0.2464245
 0.2753906  0.2503651
 0.2792969  0.2545241
 0.2832031  0.2590093
 0.2871094  0.2634597
 0.2910156  0.2675922
 0.2949219  0.2715710
 0.2988281  0.2753425
 0.3027344  0.2788223
 0.3066406  0.2819358
 0.3105469  0.2846411
 0.3144531  0.2870072
 0.3183594  0.2894989
 0.3222656  0.2915401
 0.3261719  0.2928749
 0.3300781  0.2937767
 0.3339844  0.2943112
 0.3378906  0.2942851
 0.3417969  0.2936493
 0.3457031  0.2925691
 0.3496094  0.2912450
 0.3535156  0.2893559
 0.3574219  0.2871983
 0.3613281  0.2844664
 0.3652344  0.2814499
 0.3691406  0.2780493
 0.3730469  0.2741121
 0.3769531  0.2694658
 0.3808594  0.2641050
 0.3847656  0.2582139
 0.3886719  0.2516189
 0.3925781  0.2446456
 0.3964844  0.2373826
 0.4003906  0.2298044
 0.4042969  0.2220233
 0.4082031  0.2141221
 0.4121094  0.2062632
 0.4160156  0.1983098
 0.4199219  0.1902561
 0.4238281  0.1820662
 0.4277344  0.1739267
 0.4316406  0.1662398
 0.4355469  0.1587638
 0.4394531  0.1512410
 0.4433594  0.1439003
 0.4472656  0.1370888
 0.4511719  0.1305764
 0.4550781  0.1243536
 0.4589844  0.1187128
 0.4628906  0.1135550
 0.4667969  0.1088355
 0.4707031  0.1046525
 0.4746094  0.1009641
 0.4785156  0.0977818
 0.4824219  0.0952435
 0.4863281  0.0933118
 0.4902344  0.0918684
 0.4941406  0.0908999
 0.4980469  0.0905106
